Viseme event received: audio offset: 50.0ms, viseme id: 0.
Viseme event received: audio offset: 100.0ms, viseme id: 12.
Viseme event received: audio offset: 212.5ms, viseme id: 4.
Viseme event received: audio offset: 275.0ms, viseme id: 14.
Viseme event received: audio offset: 350.0ms, viseme id: 1.
Viseme event received: audio offset: 406.25ms, viseme id: 4.
Viseme event received: audio offset: 475.0ms, viseme id: 19.
Viseme event received: audio offset: 575.0ms, viseme id: 4.
Viseme event received: audio offset: 643.75ms, viseme id: 6.
Viseme event received: audio offset: 712.5ms, viseme id: 18.
Viseme event received: audio offset: 762.5ms, viseme id: 6.
Viseme event received: audio offset: 925.0ms, viseme id: 19.
Viseme event received: audio offset: 975.0ms, viseme id: 0.
Viseme event received: audio offset: 1175.0ms, viseme id: 12.
Viseme event received: audio offset: 1237.5ms, viseme id: 9.
Viseme event received: audio offset: 1350.0ms, viseme id: 2.
Viseme event received: audio offset: 1462.5ms, viseme id: 6.
Viseme event received: audio offset: 1587.5ms, viseme id: 4.
Viseme event received: audio offset: 1650.0ms, viseme id: 19.
Viseme event received: audio offset: 1712.5ms, viseme id: 1.
Viseme event received: audio offset: 1775.0ms, viseme id: 19.
Viseme event received: audio offset: 1837.5ms, viseme id: 4.
Viseme event received: audio offset: 2006.25ms, viseme id: 6.
Viseme event received: audio offset: 2175.0ms, viseme id: 0.
