iseme event received: audio offset: 50.0ms, viseme id: 0.
Viseme event received: audio offset: 100.0ms, viseme id: 1.
Viseme event received: audio offset: 275.0ms, viseme id: 21.
Viseme event received: audio offset: 500.0ms, viseme id: 0.
Viseme event received: audio offset: 1250.0ms, viseme id: 0.
Viseme event received: audio offset: 1300.0ms, viseme id: 19.
Viseme event received: audio offset: 1425.0ms, viseme id: 11.
Viseme event received: audio offset: 1550.0ms, viseme id: 15.
Viseme event received: audio offset: 1650.0ms, viseme id: 19.
Viseme event received: audio offset: 1725.0ms, viseme id: 4.
Viseme event received: audio offset: 1775.0ms, viseme id: 21.
Viseme event received: audio offset: 1837.5ms, viseme id: 6.
Viseme event received: audio offset: 1950.0ms, viseme id: 19.
Viseme event received: audio offset: 2012.5ms, viseme id: 6.
Viseme event received: audio offset: 2150.0ms, viseme id: 4.
Viseme event received: audio offset: 2300.0ms, viseme id: 0.
Viseme event received: audio offset: 2600.0ms, viseme id: 21.
Viseme event received: audio offset: 2662.5ms, viseme id: 1.
Viseme event received: audio offset: 2725.0ms, viseme id: 19.
Viseme event received: audio offset: 2787.5ms, viseme id: 21.
Viseme event received: audio offset: 2837.5ms, viseme id: 11.
Viseme event received: audio offset: 2925.0ms, viseme id: 19.
Viseme event received: audio offset: 3050.0ms, viseme id: 4.
Viseme event received: audio offset: 3118.75ms, viseme id: 6.
Viseme event received: audio offset: 3187.5ms, viseme id: 21.
Viseme event received: audio offset: 3250.0ms, viseme id: 6.
Viseme event received: audio offset: 3325.0ms, viseme id: 15.
Viseme event received: audio offset: 3387.5ms, viseme id: 1.
Viseme event received: audio offset: 3450.0ms, viseme id: 19.
Viseme event received: audio offset: 3500.0ms, viseme id: 19.
Viseme event received: audio offset: 3537.5ms, viseme id: 19.
Viseme event received: audio offset: 3612.5ms, viseme id: 4.
Viseme event received: audio offset: 3675.0ms, viseme id: 6.
Viseme event received: audio offset: 3737.5ms, viseme id: 18.
Viseme event received: audio offset: 3800.0ms, viseme id: 6.
Viseme event received: audio offset: 3962.5ms, viseme id: 19.
Viseme event received: audio offset: 4012.0ms, viseme id: 0.
Viseme event received: audio offset: 4250.0ms, viseme id: 11.
Viseme event received: audio offset: 4325.0ms, viseme id: 21.
Viseme event received: audio offset: 4400.0ms, viseme id: 12.
Viseme event received: audio offset: 4462.5ms, viseme id: 2.
Viseme event received: audio offset: 4537.5ms, viseme id: 14.
Viseme event received: audio offset: 4625.0ms, viseme id: 6.
Viseme event received: audio offset: 4812.0ms, viseme id: 0.
