Viseme event received: audio offset: 50.0ms, viseme id: 0.
Viseme event received: audio offset: 100.0ms, viseme id: 1.
Viseme event received: audio offset: 187.5ms, viseme id: 4.
Viseme event received: audio offset: 287.5ms, viseme id: 1.
Viseme event received: audio offset: 362.5ms, viseme id: 4.
Viseme event received: audio offset: 437.5ms, viseme id: 20.
Viseme event received: audio offset: 550.0ms, viseme id: 4.
Viseme event received: audio offset: 706.25ms, viseme id: 6.
Viseme event received: audio offset: 862.0ms, viseme id: 0.
Viseme event received: audio offset: 1637.5ms, viseme id: 0.
Viseme event received: audio offset: 1700.0ms, viseme id: 7.
Viseme event received: audio offset: 1825.0ms, viseme id: 4.
Viseme event received: audio offset: 1950.0ms, viseme id: 14.
Viseme event received: audio offset: 2025.0ms, viseme id: 11.
Viseme event received: audio offset: 2125.0ms, viseme id: 20.
Viseme event received: audio offset: 2212.5ms, viseme id: 4.
Viseme event received: audio offset: 2325.0ms, viseme id: 15.
Viseme event received: audio offset: 2437.5ms, viseme id: 11.
Viseme event received: audio offset: 2500.0ms, viseme id: 14.
Viseme event received: audio offset: 2575.0ms, viseme id: 15.
Viseme event received: audio offset: 2687.5ms, viseme id: 6.
Viseme event received: audio offset: 2800.0ms, viseme id: 6.
Viseme event received: audio offset: 2875.0ms, viseme id: 4.
Viseme event received: audio offset: 2937.5ms, viseme id: 1.
Viseme event received: audio offset: 3000.0ms, viseme id: 13.
Viseme event received: audio offset: 3062.5ms, viseme id: 9.
Viseme event received: audio offset: 3175.0ms, viseme id: 19.
Viseme event received: audio offset: 3237.5ms, viseme id: 19.
Viseme event received: audio offset: 3262.5ms, viseme id: 17.
Viseme event received: audio offset: 3300.0ms, viseme id: 4.
Viseme event received: audio offset: 3462.5ms, viseme id: 19.
Viseme event received: audio offset: 3624.5ms, viseme id: 0.
